Date,Period,Dublin,Non_Dublin,GDA_excl_Dublin,Outside_GDA,Unemployment_Rate,RPPI,Year,Monthly_Income,Affordability_Dublin,Affordability_National,RPZ_Active
2013-07-01,Q3 2013,1107.515708639499,639.4651370765198,771.7488826969084,618.1084072281142,,78.53333333333335,2013,,,,0
2013-10-01,Q4 2013,1107.515708639499,616.8538375017196,764.5284324820706,590.9100808099454,,80.76666666666667,2013,,,,0
2014-01-01,Q1 2014,1126.5044224443905,619.3261942687858,788.0481685794771,590.9100808099454,,82.03333333333333,2014,,,,0
2014-04-01,Q2 2014,1172.477940055495,638.187484880447,823.9082821374033,605.8690407247492,,86.60000000000001,2014,,,,0
2014-07-01,Q3 2014,1231.3601934400278,669.5675817318943,855.8192656833902,643.9775455259736,,93.63333333333333,2014,,,,0
2014-10-01,Q4 2014,1223.9941525003164,647.8324535763885,855.8192656833902,613.7967567600474,,96.56666666666666,2014,,,,0
2015-01-01,Q1 2015,1230.1294487215093,659.5990191352386,873.1079616709088,626.196273750677,,96.39999999999999,2015,,,,0
2015-04-01,Q2 2015,1268.8606942601562,674.9456057992545,906.9245094624553,639.4854434074418,,98.56666666666666,2015,,,,0
2015-07-01,Q3 2015,1332.583323366137,723.8846841212838,950.5675389413698,691.3622027574704,,101.73333333333333,2015,,,,0
2015-10-01,Q4 2015,1318.0052332999187,717.3989515394463,948.668303731775,679.708383436287,,103.23333333333333,2015,,,,0
2016-01-01,Q1 2016,1336.5870759623158,719.5543799200645,977.5595547983995,679.708383436287,,103.7,2016,,,,0
2016-04-01,Q2 2016,1363.5879259591977,737.5486879722197,988.3720697072083,696.9152830844413,,104.8,2016,,,,0
2016-07-01,Q3 2016,1446.4603104297419,784.0180974956526,1036.9709720791152,746.7749427660667,,109.33333333333333,2016,,,,0
2016-10-01,Q4 2016,1449.3561259008009,781.3569624572921,1042.168810707255,738.0885901876285,,112.03333333333335,2016,,,,1
2017-01-01,Q1 2017,1484.5614469356508,800.6645766511957,1079.2905602646972,755.4879699580072,,113.36666666666667,2017,,,,1
2017-04-01,Q2 2017,1525.1906318056663,826.8572792292963,1118.852869360863,780.6320080306808,,115.86666666666667,2017,,,,1
2017-07-01,Q3 2017,1593.7972980780787,858.8824810684072,1135.7621650709962,819.7208523199099,,122.16666666666667,2017,,,,1
2017-10-01,Q4 2017,1554.4463025795253,845.3342435341089,1149.473414010895,797.0870208202834,,125.16666666666667,2017,,,,1
2018-01-01,Q1 2018,1584.2631453502347,849.5714990629897,1141.455196614733,804.454057819934,,127.36666666666667,2018,,,,1
2018-04-01,Q2 2018,1642.3356520074208,873.9578112630293,1159.8653683860844,828.7875571495695,,130.46666666666667,2018,,,,1
